,precision,accuracy,recall,duration,f1,auc,iter,fold,tune,model,dataset
1278,0.5166666666666666,0.6327433628318584,0.47501392536007,1147.381813764572,0.4671360780575797,0.7916905924783699,4,4,3,inceptionM,WESAD
1279,0.6584669448715134,0.6592920353982301,0.5575445342692896,1147.5264291763306,0.5812503412503413,0.8167782846107028,5,5,3,inceptionM,WESAD
1280,0.7920309863475993,0.6769911504424779,0.5607898421219023,28.1240177154541,0.5883391523181443,0.8488544643951662,1,1,3,mcdcnnM,WESAD
1281,0.9156179079843202,0.8805309734513275,0.8154325249097271,32.744924783706665,0.8446937173983291,0.8806973003081859,2,2,3,mcdcnnM,WESAD
1282,0.7873660053748829,0.7787610619469026,0.6700668202219885,25.952698469161987,0.6701057976806047,0.8270534798345732,3,3,3,mcdcnnM,WESAD
1283,0.8318670576735093,0.7699115044247787,0.6835437729445847,29.04228591918945,0.6955134947131215,0.8829613810516173,4,4,3,mcdcnnM,WESAD
1284,0.8657384219840395,0.7831858407079646,0.6703001640934322,15.26546859741211,0.6941970085958694,0.8497066534187566,5,5,3,mcdcnnM,WESAD
1285,0.6670143608807021,0.6814159292035398,0.6349534064979279,1965.958137512207,0.6404192298929139,0.8208542751393072,1,1,3,resnetM,WESAD
1286,0.7414595803857549,0.7699115044247787,0.6652709047075245,932.652453660965,0.6790160947464319,0.8358278008254135,2,2,3,resnetM,WESAD
1287,0.9398148148148148,0.8849557522123894,0.7657657657657658,2013.5851361751559,0.7863655640373198,0.8953001103275632,3,3,3,resnetM,WESAD
1288,0.8086473853345019,0.7831858407079646,0.6356394589863198,1285.348724603653,0.6449284222843222,0.7863720727172625,4,4,3,resnetM,WESAD
1289,0.6955141476880607,0.7654867256637168,0.6565565326606148,1459.756370306015,0.6672413128157663,0.8721297090836361,5,5,3,resnetM,WESAD
1290,0.8438941004794663,0.8451327433628318,0.7928336548532299,75.5971405506134,0.8087986448420844,0.8808973093408521,1,1,4,cnnM,WESAD
1291,0.8511737089201877,0.7876106194690266,0.717562513575882,61.10634660720825,0.7554514113337643,0.8745249785474183,2,2,4,cnnM,WESAD
